Session	Time	Date	Author	Event	Parameter	Details
12	38	2014-02-25 18:03:24	1	eComposition	261	edit/2142
12	253	2014-02-25 18:07:37	1	eComposition	261	edit/2142
12	115	2014-02-25 18:09:32	1	eComposition	261	edit/2142
12	42	2014-02-25 18:10:14	1	eComposition	261	add/2143
12	12	2014-02-25 18:10:26	1	eComposition	261	edit/2143
12	4	2014-02-25 18:10:30	1	eComposition	261	order
12	82	2014-02-25 18:11:52	1	eComposition	261	add/2144
12	5	2014-02-25 18:11:57	1	eComposition	261	order
12	21	2014-02-25 18:12:18	1	eComposition	261	delete/2143
12	2	2014-02-25 18:12:20	1	eComposition	261	delete/2142
12	3	2014-02-25 18:12:23	1	eComposition	261	delete/2140
12	156	2014-02-25 18:14:59	1	eComposition	261	edit/2111
12	6	2014-02-25 18:15:05	1	eComposition	261	order
12	119	2014-02-25 18:17:04	1	eComposition	261	add/2145
12	29	2014-02-25 18:17:33	1	eComposition	261	add/2146
12	3	2014-02-25 18:17:36	1	eComposition	261	order
12	80	2014-02-25 18:18:56	1	eComposition	261	edit/2146
12	16	2014-02-25 18:19:12	1	eComposition	261	edit/2146
12	22	2014-02-25 18:19:34	1	eComposition	261	edit/2146
12	44	2014-02-25 18:20:18	1	eComposition	261	order
13	0	2014-02-25 18:50:42	1	aComposition	266	NA
13	4	2014-02-25 18:50:46	1	eComposition	266	add/2147
13	204	2014-02-25 18:54:10	1	vComposition	261	NA
13	45	2014-02-25 18:54:55	1	awareness	NA	NA
13	17	2014-02-25 18:55:12	1	vComposition	264	NA
13	20	2014-02-25 18:55:32	1	eComposition	264	order
13	57	2014-02-25 18:56:29	1	eComposition	264	edit/2139
13	14	2014-02-25 18:56:43	1	eComposition	264	edit/2139
13	17	2014-02-25 18:57:00	1	eComposition	264	edit/2139
13	16	2014-02-25 18:57:16	1	eComposition	264	edit/2139
13	42	2014-02-25 18:57:58	1	eComposition	264	order
13	20	2014-02-25 18:58:18	1	eComposition	264	edit/2109
13	12	2014-02-25 18:58:30	1	eComposition	264	edit/2139
13	1021	2014-02-25 19:15:31	1	aResource	1470	NA
13	97	2014-02-25 19:17:08	1	vResource	1470	NA
13	345	2014-02-25 19:22:53	1	aAnnotation	1566	NA
13	367	2014-02-25 19:29:00	1	vGroup	187	NA
13	320	2014-02-25 19:34:20	1	aGroup	188	NA
13	0	2014-02-25 19:34:20	1	vGroup	188	NA
13	471	2014-02-25 19:42:11	1	vGroup	188	NA
13	997	2014-02-25 19:58:48	1	aResource	1474	NA
14	0	2014-02-26 10:35:52	1	awareness	NA	NA
14	51	2014-02-26 10:36:43	1	awareness	NA	NA
14	903	2014-02-26 10:51:46	1	eComposition	260	add/2148
14	3	2014-02-26 10:51:49	1	eComposition	260	order
14	11	2014-02-26 10:52:00	1	eComposition	260	add/2149
14	3	2014-02-26 10:52:03	1	eComposition	260	order
14	113	2014-02-26 10:53:56	1	eComposition	260	add/2150
14	13	2014-02-26 10:54:09	1	eComposition	260	delete/2150
14	9	2014-02-26 10:54:18	1	eComposition	260	add/2151
14	1164	2014-02-26 11:13:42	1	awareness	NA	NA
14	30	2014-02-26 11:14:12	1	awareness	NA	NA
14	38	2014-02-26 11:14:50	1	awareness	NA	NA
14	13	2014-02-26 11:15:03	1	awareness	NA	NA
14	109	2014-02-26 11:16:52	1	pScript	NA	NA
14	0	2014-02-26 11:16:52	1	vResource	1464	NA
14	47	2014-02-26 11:17:39	1	vResource	1470	NA
14	53	2014-02-26 11:18:32	1	vResource	1470	NA
14	8	2014-02-26 11:18:40	1	eScript	325	add:1470
14	102	2014-02-26 11:20:22	1	eComposition	261	delete/2145
4	0	2014-02-27 15:52:59	265	pScript	325	NA
4	0	2014-02-27 15:52:59	265	vResource	1465	NA
3	0	2014-03-01 13:30:08	264	vResource	1465	NA
3	26	2014-03-01 13:30:34	264	pScript	326	NA
3	0	2014-03-02 14:51:21	262	vResource	1474	NA
3	68	2014-03-02 14:52:29	262	vResource	1470	NA
3	918	2014-03-02 15:07:47	262	pScript	324	NA
3	0	2014-03-02 15:07:47	262	vResource	1464	NA
3	23	2014-03-02 15:08:10	262	dScript	324	NA
3	27	2014-03-02 15:08:37	262	aScript	328	NA
3	268	2014-03-02 15:13:05	262	eScript	328	edit
3	18	2014-03-02 15:13:23	262	eScript	328	edit
3	63	2014-03-02 15:14:26	262	aDocument	133	NA
3	35	2014-03-02 15:15:01	262	dDocument	133	NA
3	10	2014-03-02 15:15:11	262	vComposition	262	NA
3	34	2014-03-02 15:15:45	262	dComposition	262	NA
15	0	2014-03-02 15:19:41	1	awareness	NA	NA
3	534	2014-03-02 15:24:39	262	aResource	1475	NA
16	0	2014-03-02 15:53:55	1	vResource	1475	NA
16	1141	2014-03-02 16:12:56	1	vResource	1475	NA
16	12	2014-03-02 16:13:08	1	vResource	1475	NA
16	4	2014-03-02 16:13:12	1	vResource	1475	NA
16	11	2014-03-02 16:13:23	1	vResource	1475	NA
16	22	2014-03-02 16:13:45	1	vResource	1475	NA
16	70	2014-03-02 16:14:55	1	vResource	1475	NA
16	15	2014-03-02 16:15:10	1	vResource	1475	NA
16	80	2014-03-02 16:16:30	1	vResource	1475	NA
16	52	2014-03-02 16:17:22	1	vResource	1475	NA
16	141	2014-03-02 16:19:43	1	vResource	1475	NA
16	161	2014-03-02 16:22:24	1	vResource	1475	NA
16	161	2014-03-02 16:25:05	1	vResource	1475	NA
16	148	2014-03-02 16:27:33	1	vResource	1475	NA
16	171	2014-03-02 16:30:24	1	vResource	1475	NA
16	51	2014-03-02 16:31:15	1	vResource	1475	NA
16	30	2014-03-02 16:31:45	1	vResource	1475	NA
16	7	2014-03-02 16:31:52	1	vResource	1475	NA
16	45	2014-03-02 16:32:37	1	vResource	1475	NA
16	54	2014-03-02 16:33:31	1	vResource	1475	NA
16	2	2014-03-02 16:33:33	1	playout--1	1475	NA
16	1	2014-03-02 16:33:34	1	playout-1	1475	NA
16	2	2014-03-02 16:33:36	1	playout-2	1475	2.541
16	10	2014-03-02 16:33:46	1	playout-1	1475	2.541
16	25	2014-03-02 16:34:11	1	awareness	NA	NA
16	111	2014-03-02 16:36:02	1	playout-2	1475	138.735
16	19	2014-03-02 16:36:21	1	playout-1	1475	138.735
16	42	2014-03-02 16:37:03	1	playout-0	1475	180.3
16	0	2014-03-02 16:37:03	1	playout-2	1475	180.3
17	0	2014-03-02 20:05:49	1	awareness	NA	NA
5	0	2014-03-02 23:26:13	265	playout--1	1475	NA
5	2	2014-03-02 23:26:15	265	playout-1	1475	NA
5	38	2014-03-02 23:26:53	265	vResource	1470	NA
5	2	2014-03-02 23:26:55	265	playout--1	1470	NA
5	2	2014-03-02 23:26:57	265	playout-1	1470	NA
5	11	2014-03-02 23:27:08	265	playout-2	1470	11.32
5	12	2014-03-02 23:27:20	265	vResource	1470	NA
5	2	2014-03-02 23:27:22	265	playout--1	1470	NA
5	2	2014-03-02 23:27:24	265	playout-1	1470	NA
5	82	2014-03-02 23:28:46	265	playout-2	1470	22.14232365145228
5	0	2014-03-02 23:28:46	265	playout-2	1470	81.188
5	0	2014-03-02 23:28:46	265	playout-2	1470	79.451867219917
5	0	2014-03-02 23:28:46	265	playout-2	1470	11.722406639004149
5	0	2014-03-02 23:28:46	265	playout-2	1470	9.117427385892116
5	0	2014-03-02 23:28:46	265	playout-2	1470	6.512448132780083
5	0	2014-03-02 23:28:46	265	playout-2	1470	5.209958506224066
5	1	2014-03-02 23:28:47	265	playout-2	1470	3.9074688796680497
5	0	2014-03-02 23:28:47	265	playout-2	1470	1.3024896265560164
5	0	2014-03-02 23:28:47	265	playout-2	1470	NA
5	1	2014-03-02 23:28:48	265	playout-1	1470	NA
5	20	2014-03-02 23:29:08	265	playout-2	1470	20.412
5	1	2014-03-02 23:29:09	265	playout-2	1470	158
5	0	2014-03-02 23:29:09	265	playout-1	1470	158
5	4	2014-03-02 23:29:13	265	playout-2	1470	161.235
5	7	2014-03-02 23:29:20	265	playout-2	1470	158
5	0	2014-03-02 23:29:20	265	playout-1	1470	158
5	19	2014-03-02 23:29:39	265	playout-2	1470	119.82904564315352
5	0	2014-03-02 23:29:39	265	playout-2	1470	14.327385892116181
